epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,17837.2,1.00188,1.03751,1.13307,0.76006,0.61011,0.68164,0.50342,0.95262,0.9878,1.0853,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,18152.1,0.99159,1.02301,1.12701,0.76524,0.60743,0.68145,0.50361,0.95197,0.98801,1.08512,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,18465.1,0.99262,1.0238,1.1268,0.76422,0.60949,0.68192,0.50343,0.95067,0.98764,1.08435,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,18779.2,0.98746,1.01212,1.12359,0.77915,0.60511,0.68211,0.50376,0.95003,0.98779,1.08375,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,19094.1,0.98348,1.00461,1.12142,0.77318,0.60692,0.68256,0.50516,0.94943,0.98886,1.08319,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,19409,0.98261,1.00448,1.12302,0.775,0.60692,0.68217,0.50497,0.94876,0.98872,1.08249,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,19723.9,0.97323,0.9826,1.11481,0.77419,0.60997,0.68249,0.50525,0.94888,0.98765,1.08248,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,20035,0.97086,0.97544,1.11075,0.76887,0.61379,0.68334,0.50649,0.94869,0.98781,1.08238,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,20346,0.96225,0.96574,1.10892,0.77396,0.61122,0.68277,0.50577,0.9481,0.98818,1.08177,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,20657,0.95924,0.95543,1.10473,0.77128,0.61277,0.68274,0.50622,0.94791,0.989,1.0816,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
